,fight_id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time
867,3fa8ee3fdc04fe36,win,Leon Edwards,Colby Covington,0,0,57,44,2,2,2,0,Welterweight,U-DEC,5,5:00
868,4896b36f1333d25c,win,Alexandre Pantoja,Brandon Royval,0,0,95,111,8,0,1,0,Flyweight,U-DEC,5,5:00
869,1efc813ccd7a5aba,win,Shavkat Rakhmonov,Stephen Thompson,0,0,28,16,1,0,2,0,Welterweight,SUB Rear Naked Choke,2,4:56
870,ac8628d945a78b03,win,Paddy Pimblett,Tony Ferguson,1,0,106,62,1,0,0,0,Lightweight,U-DEC,3,5:00
871,3b21a9f48bac4a44,win,Josh Emmett,Bryce Mitchell,1,0,2,0,0,0,0,0,Featherweight,KO/TKO Punch,1,1:57
872,521a0e016878d174,win,Alonzo Menifield,Dustin Jacoby,1,0,68,93,1,0,0,0,Light Heavyweight,U-DEC,3,5:00
873,609d994bfe440ec3,win,Irene Aldana,Karol Rosa,0,0,145,204,0,0,0,0,Women's Bantamweight,U-DEC,3,5:00
874,f8a8871d167fc929,win,Cody Garbrandt,Brian Kelleher,1,0,20,17,0,0,0,0,Bantamweight,KO/TKO Punch,1,3:42
875,c442899c21d58779,win,Ariane da Silva,Casey O'Neill,0,0,64,31,1,0,1,0,Women's Flyweight,SUB Armbar,2,1:18
876,4ec249e549309b16,win,Tagir Ulanbekov,Cody Durden,1,0,24,32,2,0,5,0,Flyweight,SUB Rear Naked Choke,2,4:25
877,abb6e2169ba580d2,win,Andre Fili,Lucas Almeida,1,0,20,10,0,0,0,0,Featherweight,KO/TKO Punch,1,3:32
878,fce6522f42b48f18,win,Shamil Gaziev,Martin Buday,0,0,49,8,0,0,0,0,Heavyweight,KO/TKO Punches,2,0:56
879,f9ec8bedc15ece93,win,Song Yadong,Chris Gutierrez,0,0,77,87,2,0,0,0,Bantamweight,U-DEC,5,5:00
880,91093a019d32af2e,win,Khalil Rountree Jr.,Anthony Smith,1,0,53,47,0,0,0,0,Light Heavyweight,KO/TKO Punch,3,0:56
881,acc57a9c114b694a,win,Nasrat Haqparast,Jamie Mullarkey,2,0,16,8,0,0,0,0,Lightweight,KO/TKO Punches,1,1:44
882,fbedeb4e4b019b94,win,Tim Elliott,Sumudaerji,0,0,10,10,1,0,1,0,Bantamweight,SUB Arm Triangle,1,4:02
883,1afc4f372a125c74,win,Andre Muniz,JunYong Park,0,0,14,27,11,0,0,0,Middleweight,S-DEC,3,5:00
884,3adab28c5c6a9254,win,Kevin Jousset,Song Kenan,0,0,134,62,1,0,0,0,Welterweight,U-DEC,3,5:00
885,35addc4646509286,win,HyunSung Park,Shannon Ross,2,0,50,47,0,0,0,0,Flyweight,KO/TKO Punch,2,3:59
886,5ac1725f775c6f00,win,Steve Garcia,Melquizael Costa,1,0,29,6,0,2,1,0,Lightweight,KO/TKO Elbows,2,1:01
887,5a6e894e4b6cc703,win,Luana Santos,Stephanie Egger,0,0,53,44,2,1,0,0,Women's Bantamweight,U-DEC,3,5:00
888,84f6de7c99779e5f,win,Tatsuro Taira,Carlos Hernandez,1,0,33,2,0,0,0,0,Flyweight,KO/TKO Punches,2,0:55
889,acde7c89bd724af8,win,Talita Alencar,Rayanne dos Santos,0,0,36,57,1,0,0,0,Women's Strawweight,S-DEC,3,5:00
