Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
4f95f74620a6b7a4,663b76da637402c3,David Heath,Victor Valimaki,0,0,44,66,0,1,0,0,Light Heavyweight,S-DEC,3,5:00,21b8a0f5c231096f,W,L,3 Rnd (5-5-5),Herb Dean,Alejandro Rochin28 - 29.Cecil Peoples29 - 28.Nelson Hamilton28 - 29.,0.33,0.31,0,0,0,0,5,59,0.23,0.25,0.6,0.62,0.79,0.8,0.31,0.29,0.54,0.47,1.0,0.56,0.35,0.37,0.33,0.32
4130a743d9d22163,f8dc544e7077d014,Alan Belcher,Jorge Santiago,1,0,29,14,1,0,2,3,Middleweight,KO/TKO Kick,3,2:45,21b8a0f5c231096f,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Kick to Head At Distance,0.38,0.23,2,3,0,1,259,146,0.2,0.21,0.5,0.33,0.85,0.67,0.28,0.22,1.0,0.5,0.48,0.33,0.58,0.35,0.38,0.24
9583662df31d943f,275cafc9de131c83,Luigi Fioravanti,Dave Menne,1,0,23,8,1,0,0,2,Welterweight,KO/TKO Punches,1,4:44,21b8a0f5c231096f,W,L,3 Rnd (5-5-5),John McCarthy,Punches to Head At Distance,0.46,0.19,0,2,0,0,32,0,0.35,0.07,1.0,1.0,0.8,0.4,0.4,0.2,0.7,0.0,0.4,0,0.53,0.19,0.46,0.19
5eedbf1e9601be35,65ddc8a9ac4e8531,Brock Larson,Keita Nakamura,0,0,22,16,5,0,0,1,Welterweight,U-DEC,3,5:00,21b8a0f5c231096f,W,L,3 Rnd (5-5-5),Herb Dean,Richard Bertrand28 - 29.Cecil Peoples28 - 29.Alejandro Rochin28 - 29.,0.4,0.36,0,1,0,0,601,1,0.38,0.33,0.67,1.0,0,0,0.31,0.34,0.57,0.4,0.58,1.0,0.53,0.72,0.4,0.36
6776260cb0aef647,43612456979e5d5e,Logan Clark,Steve Byrnes,0,0,40,18,0,3,2,4,Middleweight,U-DEC,3,5:00,21b8a0f5c231096f,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Cecil Peoples27 - 30.28 - 29.Alejandro Rochin27 - 30.,0.72,0.51,2,4,1,1,229,539,0.68,0.48,0.85,1.0,1.0,0,0.33,0.33,0.64,1.0,0.89,0.48,0.84,0.7,0.73,0.51
6506c1d34da9c013,621a6c59f88a44fe,Georges St-Pierre,Matt Hughes,2,0,45,10,1,0,0,0,Welterweight,KO/TKO Kick,2,1:25,3fed746acfd026dd,W,L,5 Rnd (5-5-5-5-5),John McCarthy,Kick to Head At Distance,0.48,0.25,0,0,0,0,36,0,0.46,0.18,0.6,0.75,0.59,1.0,0.45,0.22,0.8,0.67,0.62,0,0.51,0.26,0.49,0.26
2a542ee8a8b83559,cbfd1d34356a004c,Tim Sylvia,Jeff Monson,0,0,49,12,0,1,1,2,Heavyweight,U-DEC,5,5:00,3fed746acfd026dd,W,L,5 Rnd (5-5-5-5-5),John McCarthy,Hector Hernandez45 - 50.Alejandro Rochin46 - 49.Richard Bertrand46 - 49.,0.28,0.24,1,2,1,1,347,308,0.18,0.21,1.0,0.67,0.95,0,0.19,0.17,0,0,0.88,0.43,0.43,0.5,0.28,0.24
1fd4fbdcc67de844,7f955f71fa2ce7ac,Drew McFedries,Alessio Sakara,1,0,30,32,1,0,0,0,Light Heavyweight,KO/TKO Punches,1,4:07,3fed746acfd026dd,W,L,3 Rnd (5-5-5),Mario Yamasaki,Punches to Head On Ground,0.52,0.55,0,0,0,0,33,11,0.45,0.54,1.0,0.67,0.67,0,0.38,0.45,0.62,0.68,0.8,0,0.57,0.56,0.53,0.55
fa315e6c77eee106,1ff9589f9065a9ed,Brandon Vera,Frank Mir,0,0,15,2,0,0,0,0,Heavyweight,KO/TKO Punches,1,1:09,3fed746acfd026dd,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Punches to Head From Side Control,0.71,0.28,0,0,0,0,34,0,0.68,0.29,1.0,0,1.0,0,0.5,0.29,1.0,0,0.89,0,0.71,0.29,0.71,0.29
79899ecf62020f6d,b14a68c533f4a4aa,Joe Stevenson,Dokonjonosuke Mishima,0,0,1,1,0,1,3,0,Lightweight,SUB Guillotine Choke,1,2:07,3fed746acfd026dd,W,L,3 Rnd (5-5-5),Mario Yamasaki,Guillotine Choke From Bottom Guard,1.0,0.2,3,0,0,0,0,111,0,0.0,1.0,1.0,0,0,0,0.0,1.0,0,0,0.33,1.0,0.46,1.0,0.2
