,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
1923,Amanda,Lemos,,5.4,115.0,65.0,Southpaw,15,4,1,
1924,Giacomo,Lemos,,6.3,247.0,75.0,Orthodox,6,0,0,
1925,Christophe,Leninger,,6.0,200.0,,Southpaw,3,4,0,
1926,Jesse,Lennox,The Ox,5.9,170.0,72.0,Orthodox,14,4,0,
1927,Jean Francois,Lenogue,,6.0,185.0,,Orthodox,16,17,3,
1928,Nik,Lentz,The Carny,5.8,145.0,68.0,Orthodox,30,12,2,
1929,Alberta Cerra,Leon,,5.8,238.0,,,0,1,0,
1930,Victoria,Leonardo,Fury,5.5,125.0,64.0,Orthodox,9,7,0,
1931,Anthony,Leone,,5.6,135.0,,Orthodox,15,8,0,
1932,Kimo,Leopoldo,,6.3,235.0,,Orthodox,10,7,1,
1933,Michael,Lerma,,,,,,0,1,0,
1934,Lukasz,Les,,,170.0,,,8,3,0,
1935,Brock,Lesnar,,6.3,265.0,81.0,Orthodox,5,3,0,
1936,Frank,Lester,,5.11,170.0,,Orthodox,11,6,0,
1937,Valerie,Letourneau,Trouble,5.7,115.0,68.0,Orthodox,8,6,0,
1938,Leah,Letson,Nidas,5.7,145.0,71.0,Southpaw,5,3,0,
1939,Justin,Levens,The Executioner,5.11,185.0,,Orthodox,10,7,0,
1940,Marcus,LeVesseur,The Prospect,5.9,155.0,70.0,Southpaw,22,7,0,
1941,David,Levicki,,6.5,275.0,,,1,3,0,
1942,Kyle,Levinton,,,,,,0,3,0,
1943,Natan,Levy,Lethal,5.9,155.0,71.0,Southpaw,8,2,0,
1944,John,Lewis,,6.0,155.0,,Southpaw,3,4,3,
1945,Derrick,Lewis,The Black Beast,6.3,260.0,79.0,Orthodox,29,12,0,
1946,Bevon,Lewis,,6.3,185.0,79.0,Orthodox,7,3,0,
1947,Brandon,Lewis,,5.4,135.0,70.0,Orthodox,6,2,0,
1948,Malik,Lewis,Hard Knock,6.0,155.0,75.0,Orthodox,6,2,0,
1949,Chi,Lewis-Parry,Chopper,6.9,243.0,,,7,0,1,
1950,Li,Jingliang,The Leech,6.0,170.0,71.0,Orthodox,19,9,0,
1951,Li,Yunfeng,,5.8,135.0,68.0,Orthodox,9,5,0,
1952,Liang,Na,The Dragon Girl,5.5,125.0,67.0,Orthodox,19,8,0,
1953,Jess,Liaudin,The Joker,5.9,170.0,72.0,Orthodox,20,11,0,
1954,Chuck,Liddell,The Iceman,6.2,205.0,76.0,Orthodox,21,8,0,
1955,Rodrigo,Lidio,Dynamis,5.11,155.0,73.0,Orthodox,12,3,0,
1956,Zach,Light,,5.8,170.0,,Orthodox,9,11,0,
1957,Scott,Lighty,,6.2,205.0,,,6,2,0,
1958,Chris,Liguori,,5.9,185.0,,Orthodox,15,10,0,
1959,Donnie,Liles,,5.9,170.0,,Orthodox,17,7,0,
1960,Jae Suk,Lim,,5.9,170.0,,Orthodox,17,6,0,
1961,Hyun Gyu,Lim,The Ace,6.3,170.0,77.0,Orthodox,13,7,1,
1962,Juliana,Lima,Ju Thai,5.5,115.0,65.0,Orthodox,9,5,0,
1963,Dhiego,Lima,,6.2,170.0,75.0,Orthodox,17,9,0,
1964,Douglas,Lima,The Phenom,6.1,170.0,,,29,6,0,
1965,Mabelly,Lima,,5.2,135.0,,Orthodox,7,1,0,
1966,Andre,Lima,Mascote,5.7,125.0,67.0,Orthodox,11,0,0,
1967,Felipe,Lima,Jungle Boy,5.6,135.0,68.0,Orthodox,14,2,0,
1968,Miguel,Linares,,,,,,2,4,0,
1969,Emiliano,Linares,Golden Bull,5.8,145.0,72.0,Orthodox,8,2,0,
1970,Matt,Lindland,The Law,6.0,185.0,74.0,Southpaw,22,9,0,
1971,Jake,Lindsey,The Librarian,5.11,155.0,,Switch,12,7,0,
1972,John,Lineker,Hands of Stone,5.3,135.0,67.0,Orthodox,31,9,0,
1973,Austin,Lingo,Lights Out,5.1,145.0,70.0,Orthodox,9,3,0,
1974,Lucio,Linhares,,6.2,185.0,,Orthodox,19,8,0,
1975,Philipe,Lins,Monstro,6.2,205.0,78.0,Orthodox,18,5,0,
1976,Tainara,Lisboa,Thai Panther,5.7,135.0,67.0,Orthodox,7,3,0,
1977,Dean,Lister,The Boogeyman,6.1,185.0,75.0,Orthodox,13,7,0,
1978,Wesley,Little,,6.4,205.0,,,4,8,0,
1979,Adam,Livingston,Bomb,,155.0,,,6,0,0,
1980,Abner,Lloveras,Skullman,5.11,155.0,,,20,9,1,
1981,Brian,Lo-A-Njoe,,5.7,155.0,,Orthodox,6,10,3,
1982,John,Lober,The Machine,5.11,199.0,,Orthodox,5,9,4,
1983,Artem,Lobov,The Russian Hammer,5.9,145.0,65.0,Southpaw,13,15,1,
1984,Dylan,Lockard,,5.9,145.0,72.0,Orthodox,6,2,0,
1985,Ryan,Loder,Man of Steel,6.2,185.0,76.0,Southpaw,8,2,0,
1986,Sean,Loeffler,The Destroyer,6.3,185.0,,Orthodox,31,5,0,
1987,Christian,Lohsen,Hollywood,6.2,155.0,77.0,Southpaw,4,2,0,
1988,David,Loiseau,The Crow,6.0,185.0,76.0,Orthodox,23,11,0,
1989,Hector,Lombard,,5.9,185.0,71.0,Southpaw,34,10,1,
1990,Michael,Lombardo,The Don,6.0,170.0,72.0,Orthodox,11,2,0,
1991,Rocky,Long,,,145.0,,,21,37,1,
1992,Thomas,Longacre,,5.9,145.0,,Orthodox,6,1,0,
1993,Loma,Lookboonmee,,5.1,115.0,61.0,Orthodox,10,3,0,
1994,Ange,Loosa,The Last Ninja,5.1,170.0,74.0,Orthodox,10,5,0,
1995,Lucas,Lopes,,6.2,185.0,,,29,19,0,
1996,Dileno,Lopes,,5.5,135.0,,,19,3,0,
1997,Diego,Lopes,,5.11,145.0,72.0,Orthodox,26,7,0,
1998,Bruno,Lopes,Brunao,6.2,205.0,74.0,Orthodox,14,2,0,
1999,Arthur,Lopes,Demolidor,6.2,234.0,77.0,Southpaw,6,2,0,
2000,Ivan,Lopez,,5.6,135.0,,Southpaw,14,3,1,
2001,Steve,Lopez,,5.11,155.0,,Orthodox,13,6,1,
2002,Federico,Lopez,Kiko,5.4,139.0,,Orthodox,10,6,0,
2003,Jorge,Lopez,,5.1,170.0,,Orthodox,11,5,0,
2004,Matthew,Lopez,,5.7,135.0,69.0,Southpaw,10,4,0,
2005,Benito,Lopez,Golden Boy,5.1,135.0,73.0,Switch,10,2,0,
2006,Gustavo,Lopez,,5.5,135.0,67.0,Orthodox,12,6,1,
2007,Alik,Lorenz,,6.2,205.0,77.0,Orthodox,6,2,0,
2008,Brendan,Loughnane,,5.1,145.0,70.0,Switch,17,3,0,
2009,Nate,Loughran,,6.2,185.0,,Orthodox,11,2,0,
2010,Caolan,Loughran,The Don,5.6,135.0,68.0,Orthodox,10,2,0,
2011,Rashard,Lovelace,,,155.0,,,4,1,0,
2012,Ian,Loveland,The Barn Owl,5.8,145.0,,Orthodox,18,10,0,
2013,Jakob,Lovstad,The Striking Viking,6.3,205.0,,Orthodox,11,4,0,
2014,Waylon,Lowe,,5.7,145.0,,Southpaw,16,7,0,
2015,Brandon,Lowe,,,155.0,,,2,1,0,
2016,Joe,Lowry,,5.11,155.0,73.0,Orthodox,9,2,0,
2017,Lu,Kai,The Last Gladiator,5.9,145.0,69.0,Orthodox,8,5,0,
2018,Lu,Zhengyong,,,125.0,,,12,7,0,
2019,Robert,Lucarelli,,6.2,245.0,,,0,1,0,
2020,Matt,Lucas,Luke Duke,6.1,205.0,,,15,3,0,
2021,Cleber,Luciano,,5.6,155.0,,,14,6,0,
2022,Stephanie,Luciano,Rondinha,5.6,115.0,65.0,Orthodox,6,2,1,
2023,Iasmin,Lucindo,,5.3,115.0,66.0,Orthodox,18,6,0,
2024,Duane,Ludwig,Bang,5.1,170.0,70.0,Orthodox,21,14,0,
2025,Lawrence,Lui,Lok Yin,5.7,135.0,72.0,Orthodox,7,1,0,
2026,Mike,Lullo,,5.8,145.0,,Orthodox,8,3,0,
2027,Juan Andres,Luna,,5.7,125.0,72.0,Orthodox,12,1,0,
2028,Dong Hyun,Ma,Maestro,5.11,155.0,70.0,Orthodox,16,11,3,
2029,Pawan,Maan,,5.7,155.0,70.0,Orthodox,7,3,1,
2030,William,Macario,Patolino,5.11,170.0,75.0,Orthodox,9,3,0,
2031,Jason,MacDonald,The Athlete,6.3,185.0,80.0,Orthodox,25,16,0,
2032,Rob,MacDonald,Maximus,6.3,205.0,78.0,Orthodox,5,4,0,
2033,Rory,MacDonald,Red King,6.0,170.0,76.0,Orthodox,19,4,0,
2034,Ryan,MacDonald,Main Event,5.11,135.0,71.0,Switch,10,2,0,
2035,Clayton,MacFarlane,,,170.0,,,4,1,0,
2036,Ilima,Macfarlane,,5.4,125.0,,,6,0,0,
2037,Valesca,Machado,Tina Black,5.4,115.0,63.0,Orthodox,8,3,0,
2038,Caio,Machado,Bigfoot,6.4,250.0,78.0,Southpaw,8,4,1,
2039,Ian,Machado Garry,The Future,6.3,170.0,74.0,Orthodox,16,1,0,
2040,Lyoto,Machida,The Dragon,6.1,185.0,74.0,Southpaw,24,8,0,
2041,War,Machine,,5.11,170.0,,Orthodox,14,5,0,
2042,Anthony,Macias,Mad Dog,5.9,185.0,,Switch,26,18,0,
2043,Pauline,Macias,PITA,5.4,115.0,64.0,Southpaw,4,1,0,
2044,Reza,Madadi,Mad Dog,5.11,155.0,73.0,Orthodox,14,6,0,
2045,Don,Madge,Magic Man,6.0,155.0,72.0,Southpaw,9,3,1,
2046,Ryan,Madigan,,6.0,170.0,,Orthodox,5,3,0,
2047,Victor,Madrigal,Periquito,5.7,135.0,71.0,Orthodox,15,5,0,
2048,Jon,Madsen,,6.0,240.0,72.0,Orthodox,8,2,0,
2049,Mark,Madsen,The Olympian,5.8,155.0,72.0,Orthodox,12,2,0,
2050,Yoshiro,Maeda,,5.7,139.0,68.0,Southpaw,35,16,5,
2051,Leonardo,Mafra,Macarrao,5.1,155.0,70.0,Orthodox,13,4,0,
2052,Vinny,Magalhaes,Pezao,6.3,205.0,75.0,Orthodox,14,9,0,
2053,Vinicius,Magalhaes,Draculinho,,145.0,,,2,1,0,
2054,Caio,Magalhaes,Hellboy,6.1,185.0,73.0,Orthodox,10,3,0,
2055,Bernardo,Magalhaes,Trekko,5.9,155.0,,Orthodox,13,4,0,
2056,Eric,Magana,,,,,,1,1,0,
2057,Brandon,Magana,,,170.0,,Orthodox,6,2,0,
2058,Angela,Magana,Your Majesty,5.1,115.0,65.0,Orthodox,11,9,0,
2059,Neil,Magny,The Haitian Sensation,6.3,170.0,80.0,Orthodox,30,14,0,
