,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
0,Tom,Aaron,,,155.0,,,5,3,0,
1,Danny,Abbadi,The Assassin,5.11,155.0,,Orthodox,4,6,0,
2,Nariman,Abbasov,Bayraktar,5.8,155.0,66.0,Orthodox,28,4,0,
3,Darion,Abbey,,6.2,265.0,80.0,Orthodox,9,5,0,
4,David,Abbott,Tank,6.0,265.0,,Switch,10,15,0,
5,Hamdy,Abdelwahab,The Hammer,6.2,264.0,72.0,Southpaw,6,1,0,
6,Mansur,Abdul-Malik,,6.2,185.0,80.0,Orthodox,8,0,1,
7,Shamil,Abdurakhimov,Abrek,6.3,235.0,76.0,Orthodox,20,8,0,
8,Hiroyuki,Abe,Abe Ani,5.6,145.0,,Orthodox,8,15,3,
9,Daichi,Abe,,5.11,170.0,71.0,Orthodox,6,2,0,
10,Papy,Abedi,Makambo,5.11,185.0,,Southpaw,10,4,0,
11,Ricardo,Abreu,Demente,5.11,185.0,,Orthodox,5,1,0,
12,Klidson,Abreu,White Bear,6.0,205.0,74.0,Orthodox,15,4,0,
13,Cyborg,Abreu,,,,,,0,0,0,
14,Daniel,Acacio,,5.8,180.0,,Orthodox,30,18,0,
15,John,Adajar,The Outlaw,5.9,170.0,75.0,Orthodox,6,2,0,
16,Scott,Adams,,6.0,225.0,,Southpaw,8,1,0,
17,Juan,Adams,The Kraken,6.5,265.0,80.0,Orthodox,5,3,0,
18,Anthony,Adams,Sugafoot,6.1,185.0,76.0,Orthodox,8,2,0,
19,Zarrukh,Adashev,The Lion,5.5,125.0,65.0,Southpaw,4,4,0,
20,Israel,Adesanya,The Last Stylebender,6.4,185.0,80.0,Switch,24,5,0,
21,Sam,Adkins,The Experience,6.3,225.0,,Orthodox,7,20,2,
22,Mohamed,Ado,,5.11,170.0,76.0,Switch,5,1,0,
23,Nick,Agallar,,5.8,155.0,,Orthodox,24,6,0,
24,Mariya,Agapova,Money Mashka,5.6,125.0,68.0,Southpaw,10,5,0,
25,Kantharaj,Agasa,Kannadiga,,135.0,,,12,3,0,
26,Marcelo,Aguiar,,5.1,170.0,,Orthodox,2,3,1,
27,Fabio,Aguiar,,6.0,185.0,,,17,1,0,
28,Edwin,Aguilar,Tigre,5.1,185.0,,,26,19,0,
29,Jessica,Aguilar,Jag,5.3,115.0,63.0,Orthodox,20,8,0,
30,Kevin,Aguilar,Angel of Death,5.7,155.0,73.0,Orthodox,17,5,0,
31,Jesus,Aguilar,,5.4,125.0,62.0,Orthodox,11,3,0,
32,Christian,Aguilera,The Beast,5.9,170.0,72.0,Switch,14,8,0,
33,Nick,Aguirre,Slick,5.9,135.0,74.0,Southpaw,7,2,0,
34,,Agulali,,5.9,125.0,67.0,Switch,13,2,0,
35,Ahejiang,Ailinuer,,,145.0,,,15,3,0,
36,Mike,Aina,Iron,5.9,155.0,,Orthodox,14,6,1,
37,Ashiek,Ajim,Peak Physique,5.8,135.0,71.0,Switch,6,2,0,
38,Hitomi,Akano,Girlfight Monster,5.4,135.0,,Southpaw,18,10,0,
39,Omari,Akhmedov,Wolverine,6.0,185.0,73.0,Orthodox,21,6,1,
40,Yoshihiro,Akiyama,,5.1,170.0,75.0,Orthodox,14,6,0,
41,Rostem,Akman,,5.1,170.0,72.0,Switch,6,2,0,
42,Razak,Al-Hassan,,6.2,205.0,,Orthodox,13,5,0,
43,Abdul-Kareem,Al-Selwady,Pride of Palestine,5.8,155.0,69.0,Orthodox,15,4,0,
44,Mostapha,Al-Turk,,6.2,245.0,77.0,Orthodox,6,6,0,
45,Herdem,Alacabek,,6.2,205.0,75.0,Orthodox,5,1,0,
46,Javi,Alanis,,5.6,135.0,,,0,4,0,
47,,Alatengheili,The Mongolian Knight,5.5,135.0,66.0,Orthodox,17,10,2,
48,Amir,Albazi,The Prince,5.5,125.0,68.0,Orthodox,17,2,0,
49,John,Albert,Prince,5.8,135.0,68.0,Orthodox,6,5,0,
50,Junior,Albini,Baby,6.3,264.0,74.0,Orthodox,14,6,0,
51,Wes,Albritton,,5.1,188.0,,Orthodox,0,1,0,
52,Aleksandra,Albu,Stitch,5.2,115.0,63.0,Orthodox,3,2,0,
53,Israel,Albuquerque,,,185.0,,Orthodox,0,3,0,
54,Juan,Alcain,,,,,,1,2,0,
55,Iuri,Alcantara,Marajo,5.9,135.0,71.0,Southpaw,35,10,0,
56,Ildemar,Alcantara,Marajo,6.2,185.0,78.0,Orthodox,21,11,0,
57,Alfonso,Alcarez,,5.3,145.0,,,1,3,1,
58,Gilbert,Aldana,El Peligro,6.1,250.0,,Orthodox,6,2,0,
59,Irene,Aldana,,5.9,135.0,68.0,Orthodox,15,8,0,
60,Hector,Aldana,,5.11,170.0,72.0,Orthodox,4,3,0,
61,Jose,Alday,Pochito,5.7,135.0,68.0,Orthodox,14,6,1,
62,Jose,Aldo,,5.7,135.0,70.0,Orthodox,32,10,0,
63,JJ,Aldrich,,5.5,125.0,67.0,Southpaw,14,7,0,
64,Irina,Alekseeva,Russian Ronda,5.8,135.0,67.0,Orthodox,5,3,0,
65,Talita,Alencar,Problem Child,5.1,115.0,58.0,Orthodox,6,1,1,
66,Jim,Alers,The Beast,5.9,145.0,71.0,Orthodox,13,3,0,
67,John,Alessio,The Natural,5.1,155.0,72.0,Orthodox,35,17,0,
68,Houston,Alexander,The Assassin,6.0,205.0,72.0,Orthodox,17,15,1,
69,Kenneth,Alexander,The Machine,5.9,155.0,,Orthodox,7,6,0,
70,Lucas,Alexander,The Lion,5.11,145.0,73.0,Orthodox,8,5,0,
71,Marcio,Alexandre Junior,Lyoto,6.0,185.0,75.0,Southpaw,17,4,0,
72,Olaf,Alfonso,,6.2,170.0,,Orthodox,8,12,0,
73,Levi,Alford,,,,,,1,7,0,
74,Bill,Algeo,Senor Perfecto,6.0,145.0,73.0,Switch,18,9,0,
75,Royce,Alger,,5.1,199.0,,Orthodox,3,2,0,
76,Amir,Aliakbari,,6.3,250.0,,,10,1,0,
77,Sultan,Aliev,,5.11,170.0,74.0,Orthodox,15,3,0,
78,Nurullo,Aliev,Tajik Eagle,5.1,155.0,72.0,Orthodox,10,0,0,
79,Ikram,Aliskerov,,6.0,185.0,76.0,Southpaw,16,2,0,
80,Leon,Aliu,The Albanian Lion,6.0,185.0,74.0,Orthodox,10,2,0,
81,John,Allan,,6.1,205.0,75.0,Orthodox,13,7,0,
82,George,Allen,,6.2,205.0,,Open Stance,13,19,2,
83,Arnold,Allen,Almighty,5.8,145.0,70.0,Southpaw,20,3,0,
84,Brendan,Allen,All In,6.2,185.0,75.0,Orthodox,25,7,0,
85,Daniel,Allen,,6.0,155.0,75.0,Southpaw,5,0,0,
86,Ben,Alloway,Blanco,5.11,170.0,76.0,Orthodox,18,8,0,
87,Asu,Almabayev,Zulfikar,5.4,125.0,65.0,Orthodox,22,3,0,
88,Bekzat,Almakhan,The Turan Warrior,5.7,135.0,68.0,Orthodox,12,2,0,
89,John Dave,Almanza,The Striker,5.7,125.0,67.0,Southpaw,6,1,0,
90,Ricardo,Almeida,Big Dog,6.0,170.0,74.0,Orthodox,13,5,0,
91,Magno,Almeida,,6.0,155.0,,,10,3,0,
92,Thomas,Almeida,Thominhas,5.7,145.0,70.0,Southpaw,22,5,0,
93,Ericka,Almeida,,5.6,115.0,,Orthodox,7,3,0,
94,Estefani,Almeida,,5.4,125.0,,Orthodox,7,3,0,
95,Jailton,Almeida,Malhadinho,6.3,205.0,79.0,Orthodox,22,3,0,
96,Lucas,Almeida,,5.11,145.0,71.0,Orthodox,15,4,0,
97,Mauricio,Alonso,,6.2,170.0,,,13,7,0,
98,Sarah,Alpar,Too Sweet,5.4,135.0,63.0,Southpaw,9,6,0,
99,Ali,AlQaisi,The Royal Fighter,5.6,135.0,68.0,Orthodox,8,5,0,
100,Rico,Altamirano,,5.1,170.0,,,4,3,0,
101,Victor,Altamirano,El Magnifico,5.8,125.0,70.0,Switch,12,5,0,
102,Mike,Altman,,5.1,185.0,,Orthodox,1,4,0,
103,Patricia,Alujas,The Angel,5.4,115.0,64.0,Orthodox,9,3,0,
104,Sean,Alvarez,,6.0,235.0,,Orthodox,4,3,0,
105,Eddie,Alvarez,,5.9,155.0,69.0,Orthodox,29,6,0,
106,Jaime,Alvarez,,5.8,125.0,69.0,Orthodox,6,1,0,
107,Joel,Alvarez,El Fenomeno,6.3,155.0,77.0,Orthodox,22,3,0,
108,Thiago,Alves,Pitbull,5.9,170.0,70.0,Orthodox,23,15,0,
109,Anthony,Alves,,,,,,1,4,0,
110,Amilcar,Alves,,6.0,170.0,,Southpaw,15,12,0,
111,Warlley,Alves,,5.11,185.0,72.0,Orthodox,15,8,0,
112,Rafael,Alves,The Turn,5.8,155.0,68.0,Orthodox,20,12,0,
113,Sam,Alvey,Smile'N,6.2,185.0,75.0,Southpaw,33,18,1,
114,Christopher,Alvidrez,,,170.0,,,6,1,0,
115,Mahamed,Aly,,,205.0,,,4,0,0,
116,Andre,Amado,Dida,6.0,154.0,,Orthodox,6,4,1,
117,Adlan,Amagov,Borz,6.2,170.0,76.0,Orthodox,14,2,1,
118,Maiara,Amanajas dos Santos,,5.5,115.0,,Southpaw,7,3,0,
119,Chris,Amarante,,,185.0,,,2,0,0,
120,Jimmy,Ambriz,The Titan,6.2,315.0,,Southpaw,17,21,1,
121,Alen,Amedovski,,5.1,185.0,74.0,Orthodox,8,4,0,
122,Hyder,Amil,The Hurricane,5.9,145.0,70.0,Switch,11,1,0,
123,Hamid,Amiri,The Storm,,145.0,,,9,0,0,
124,Makwan,Amirkhani,Mr. Finland,5.1,145.0,72.0,Southpaw,17,9,0,
125,Jaqueline,Amorim,,5.3,115.0,68.0,Orthodox,10,1,0,
126,Bertrand,Amoussou,,5.8,190.0,,Orthodox,1,1,0,
127,Karl,Amoussou,The Psycho,5.11,185.0,,Orthodox,27,7,2,
128,Eryk,Anders,Ya Boi,6.1,185.0,75.0,Southpaw,17,9,0,
129,Matt,Andersen,,6.2,230.0,,Southpaw,14,8,1,
130,Andy,Anderson,The Hammer,5.6,240.0,,,0,1,0,
131,Lowell,Anderson,,5.6,160.0,,Orthodox,0,1,0,
132,Corey,Anderson,Overtime,6.3,205.0,79.0,Orthodox,14,5,0,
133,Derek,Anderson,Barbaric,6.0,155.0,,,14,3,0,
134,Megan,Anderson,,6.0,145.0,72.0,Orthodox,11,5,0,
135,Liam,Anderson,,6.3,185.0,75.0,Orthodox,6,3,0,
136,Tatsuya,Ando,Kirinji,5.4,145.0,68.0,Southpaw,14,4,1,
137,Alex,Andrade,El Toro,5.11,200.0,,Orthodox,10,5,0,
138,Jessica,Andrade,Bate Estaca,5.1,115.0,62.0,Orthodox,26,15,0,
139,Viscardi,Andrade,,5.11,170.0,75.0,Orthodox,19,6,0,
140,Jermaine,Andre,,5.7,200.0,,Orthodox,14,4,0,
141,Fellipe,Andrew,,,,,,0,0,0,
142,Dylan,Andrews,The Villain,6.1,185.0,74.0,Switch,18,7,0,
143,Reese,Andy,Riptide,6.0,205.0,,Orthodox,7,3,0,
144,,Angga,The Hitman,5.7,145.0,68.0,Orthodox,13,3,0,
145,Collin,Anglin,,5.9,145.0,71.0,Orthodox,8,3,0,
146,Chad,Anheliger,The Monster,5.6,135.0,64.0,Orthodox,13,8,0,
147,Yoji,Anjo,Mr. 200%,5.11,205.0,,Orthodox,0,5,1,
148,Magomed,Ankalaev,,6.3,205.0,75.0,Orthodox,21,1,1,
149,Gadzhimurad,Antigulov,,5.11,205.0,70.0,Orthodox,20,8,0,
150,Adam,Antolin,Captain Chaos,5.5,125.0,63.0,Orthodox,12,3,0,
151,Angelo,Antonio,,,205.0,,Orthodox,1,4,0,
152,Vanilto,Antunes,,6.0,170.0,72.0,Orthodox,16,7,0,
153,Azunna,Anyanwu,Zulu,6.1,251.0,,Orthodox,14,5,0,
154,Shinsho,Anzai,Animal,5.7,170.0,70.0,Orthodox,10,3,0,
155,Jin,Aoi,,5.6,145.0,68.0,Orthodox,14,6,1,
156,Shinya,Aoki,Tobikan Judan,5.11,154.0,,Southpaw,39,7,0,
157,,Aoriqileng,The Mongolian Murderer,5.7,135.0,69.0,Orthodox,25,12,0,
158,Josh,Appelt,,5.1,255.0,,Southpaw,15,7,0,
159,Erik,Apple,,6.0,170.0,,Orthodox,10,3,0,
160,Kenji,Arai,,5.1,145.0,,Southpaw,15,15,5,
161,Romie,Aram,,5.1,170.0,,Orthodox,7,1,0,
162,Felipe,Arantes,Sertanejo,5.8,135.0,73.0,Orthodox,18,10,1,
163,Igor,Araujo,,6.1,170.0,77.0,Orthodox,25,9,0,
164,Viviane,Araujo,Vivi,5.4,125.0,68.0,Orthodox,13,7,0,
165,Julio,Arce,,5.7,145.0,70.0,Southpaw,19,6,0,
166,Art,Arciniega,King Arthur,5.8,145.0,,,15,7,0,
167,Alice,Ardelean,,5.3,115.0,62.0,Orthodox,10,7,0,
168,Tristan,Arenal,,,155.0,,,7,4,0,
169,Dan,Argueta,The Determined,5.7,135.0,68.0,Southpaw,9,3,0,
170,Reza,Arianto,The Crazy Lion,,155.0,,,5,0,0,
171,Hashem,Arkhagha,,6.2,185.0,75.0,Orthodox,6,1,0,
172,Andrei,Arlovski,The Pitbull,6.3,240.0,77.0,Orthodox,34,24,0,
173,Garrett,Armfield,,5.6,135.0,70.0,Orthodox,10,5,0,
174,Joey,Armstrong,,,,,,5,2,0,
175,Austin,Arnett,,6.0,145.0,72.0,Orthodox,16,6,0,
176,Ricardo,Arona,The Brazilian Tiger,5.11,205.0,,Orthodox,14,5,0,
177,Eli,Aronov,The Israeli Tank,5.1,185.0,72.0,Orthodox,6,1,0,
178,Chalid,Arrab,Die Faust,5.11,205.0,,Orthodox,7,3,0,
179,Akbarh,Arreola,El Caballero,5.1,155.0,71.0,Southpaw,23,11,1,
180,Matt,Arroyo,No Regard,5.1,170.0,72.0,Orthodox,3,3,0,
181,Antonio,Arroyo,,6.3,185.0,73.0,Orthodox,9,5,0,
182,Gilles,Arsene,,5.9,190.0,,Southpaw,1,1,0,
183,Veta,Arteaga,,5.7,125.0,,,3,1,0,
184,Cesar,Arzamendia,Goku,5.11,155.0,,Orthodox,8,3,0,
185,Kai,Asakura,,5.8,125.0,69.0,Orthodox,21,6,0,
186,Teddy,Ash,Bear,6.1,185.0,73.0,Switch,14,5,0,
187,Arman,Ashimov,Mustafa Ozturik,5.6,125.0,,,11,3,1,
188,Yanal,Ashmouz,Red Fox,5.9,155.0,69.0,Orthodox,8,2,0,
189,,Asjabharan,,5.6,135.0,,,7,6,0,
190,Askar,Askar,AK-47,5.7,145.0,69.0,Orthodox,11,1,0,
191,Askar,Askarov,Bullet,5.6,125.0,67.0,Orthodox,14,1,1,
192,Cyril,Asker,Silverback,6.0,247.0,74.0,Orthodox,9,4,0,
193,Scott,Askham,,6.3,185.0,75.0,Southpaw,14,4,0,
194,Ben,Askren,Funky,5.11,170.0,73.0,Orthodox,19,2,0,
195,Ibo,Aslan,The Last Ottoman,6.3,205.0,77.0,Orthodox,14,3,0,
196,Tom,Aspinall,,6.5,256.0,78.0,Orthodox,15,3,0,
197,Bruno,Assis,Brunao,6.2,185.0,,Orthodox,8,4,0,
198,Junior,Assuncao,,5.9,145.0,72.0,Orthodox,16,6,0,
199,Raphael,Assuncao,,5.5,135.0,66.0,Orthodox,28,10,0,
200,Michael,Aswell,The Texas Kid,5.8,155.0,69.0,Orthodox,10,3,0,
201,Bazigit,Atajev,Volk,6.1,230.0,,Orthodox,17,1,0,
202,Rich,Attonito,The Raging Bull,5.1,170.0,72.0,Orthodox,10,5,0,
203,Olivier,Aubin-Mercier,The Canadian Gangster,5.9,155.0,70.0,Southpaw,11,5,0,
204,Pat,Audinwood,Awesomely Awesome,6.0,155.0,,Orthodox,11,2,1,
205,Jose,Augusto,Gugu,6.3,251.0,,,6,2,0,
206,Marcus,Aurelio,Maximus,5.1,155.0,74.0,Orthodox,22,10,0,
207,David,Avellan,,5.9,185.0,,Orthodox,2,1,0,
208,Blas,Avena,The Disciple,6.0,170.0,74.0,Orthodox,8,7,0,
209,Levi,Avera,,6.1,170.0,,,18,15,0,
210,Anthony,Avila,,5.7,145.0,,,13,5,0,
211,Chris,Avila,,5.1,145.0,,Orthodox,5,4,0,
212,Julia,Avila,Raging Panda,5.7,135.0,68.0,Orthodox,9,4,0,
213,Saad,Awad,Assassin,5.11,155.0,,,20,9,0,
214,Javy,Ayala,Eye Candy,6.1,265.0,,,10,5,0,
215,Jessin,Ayari,,6.0,155.0,73.0,Orthodox,16,6,0,
216,Abu,Azaitar,Captain Morocco,5.9,185.0,76.0,Orthodox,14,4,1,
217,Niklas,Backstrom,,6.1,145.0,,Orthodox,11,3,0,
218,Seth,Baczynski,The Polish Pistola,6.3,170.0,75.0,Orthodox,20,14,0,
219,Abdul Azeem,Badakhshi,The Afghan Lion,,145.0,,,13,3,0,
220,Ryan,Bader,Darth,6.2,205.0,74.0,Orthodox,23,5,0,
221,Izabela,Badurek,,5.5,115.0,,Orthodox,6,3,0,
222,Miguel,Baeza,Caramel Thunder,6.2,170.0,74.0,Orthodox,10,4,0,
223,Ali,Bagautinov,Puncher,5.4,125.0,65.0,Orthodox,15,6,0,
224,Mehdi,Baghdad,The Sultan,6.1,155.0,,Orthodox,11,5,0,
225,Melsik,Baghdasaryan,The Gun,5.9,145.0,70.0,Southpaw,8,3,0,
226,Siyar,Bahadurzada,The Great,5.11,170.0,73.0,Orthodox,24,8,1,
227,Ignacio,Bahamondes,La Jaula,6.3,155.0,75.0,Orthodox,17,6,0,
228,Bahatebole,Batebolati,Lion King,5.8,170.0,71.0,Southpaw,10,1,1,
229,Shamar,Bailey,,5.9,155.0,75.0,Southpaw,16,11,0,
230,Jordan,Bailey,,5.9,145.0,,,6,3,0,
231,Scott,Baker,,6.0,210.0,,,1,1,0,
232,Bryan,Baker,The Beast,6.3,185.0,,Orthodox,18,5,0,
233,Jin,Bala,,5.9,155.0,,,23,3,0,
234,,Balajin,The Snow Leopard,5.9,145.0,72.0,Orthodox,23,4,0,
235,Oluwale,Bamgbose,Holy War Angel,5.11,185.0,78.0,Switch,6,4,0,
236,Stephen,Banaszak,,6.0,145.0,,,5,5,0,
237,Marcin,Bandel,Bomba,5.1,155.0,,Orthodox,15,7,0,
238,Humberto,Bandenay,,5.11,145.0,71.0,Southpaw,14,7,0,
239,Tae Hyun,Bang,Supernatural,5.9,155.0,71.0,Switch,18,10,0,
240,Yohan,Banks,,,,,,2,1,0,
241,Shauna,Bannon,Mama B,5.5,115.0,65.0,Switch,7,1,0,
242,Antonio,Banuelos,,5.5,135.0,63.0,Orthodox,20,11,1,
243,Iwo,Baraniewski,,,205.0,,,5,0,0,
244,Renan,Barao,The Baron,5.6,145.0,70.0,Orthodox,34,9,0,
245,Junior,Barata,,5.1,170.0,,Orthodox,9,3,1,
246,Maycee,Barber,The Future,5.5,125.0,65.0,Switch,14,2,0,
247,Bryan,Barberena,Bam Bam,6.0,185.0,72.0,Southpaw,18,12,0,
248,Dani,Barbir,,,185.0,,,7,0,0,
249,Dione,Barbosa,The Witch,5.6,125.0,66.0,Orthodox,8,4,0,
250,Marcio,Barbosa,Ticoto,5.6,145.0,70.0,Orthodox,17,2,0,
251,Edson,Barboza,Junior,5.11,155.0,75.0,Orthodox,24,13,0,
252,Raoni,Barcelos,,5.7,135.0,67.0,Orthodox,20,5,0,
253,Daniel,Barez,,5.6,125.0,66.0,Orthodox,17,7,0,
254,Danny,Barlow,LeftHand2God,6.2,185.0,79.0,Southpaw,9,1,0,
255,Luke,Barnatt,The Bigslow,6.6,185.0,77.0,Orthodox,13,4,0,
256,James,Barnes,Mooka,5.8,135.0,71.0,Orthodox,14,5,0,
257,Nick,Barnes,,5.11,170.0,,,11,2,0,
258,Shonte,Barnes,Shyne,5.11,185.0,76.0,Southpaw,6,2,1,
259,Josh,Barnett,The Warmaster,6.3,250.0,78.0,Orthodox,35,8,0,
260,Chris,Barnett,Beastboy,5.9,265.0,75.0,Orthodox,23,9,0,
261,Chris,Barnhizer,,,,,,2,3,0,
262,David,Baron,,5.6,155.0,,Switch,17,4,1,
263,Phil,Baroni,The New York Bad Ass,5.9,170.0,72.0,Orthodox,15,18,0,
264,Dan,Barrera,The Fireman,5.9,170.0,,Orthodox,3,1,0,
265,Carlos,Barreto,,6.4,230.0,,Orthodox,14,9,0,
266,Peter,Barrett,Slippery,5.1,145.0,73.0,Southpaw,11,5,0,
267,Marc-Andre,Barriault,Powerbar,6.1,185.0,74.0,Orthodox,17,10,0,
268,David,Barrios,,5.6,145.0,,,4,8,0,
269,Alexandre,Barros,Baixinho,5.9,170.0,,Southpaw,22,11,0,
270,Ricardo,Barros,,6.1,205.0,,,2,2,0,
271,Francimar,Barroso,Bodao,6.1,205.0,75.0,Orthodox,19,7,0,
272,Pat,Barry,HD,5.11,235.0,74.0,Orthodox,8,7,0,
273,Dean,Barry,The Sniper,5.1,170.0,72.0,Orthodox,4,2,0,
274,Enrique,Barzola,El Fuerte,5.7,145.0,70.0,Orthodox,17,5,2,
275,Javid,Basharat,The Snow Leopard,5.9,135.0,69.0,Orthodox,14,2,0,
276,Farid,Basharat,Ferocious,5.8,135.0,71.0,Orthodox,13,0,0,
277,Austin,Bashi,,5.6,145.0,70.0,Orthodox,14,1,0,
278,Stephen,Bass,Bigfish,5.9,145.0,,Orthodox,11,2,0,
279,Sean,Bassett,,,155.0,,,0,4,0,
280,Ryan,Bastianelli,Relentless,5.5,135.0,,,6,7,0,
281,Shayna,Baszler,The Queen of Spades,5.7,135.0,,Orthodox,15,11,0,
282,Namsrai,Batbayar,Steppe Warrior,5.4,125.0,68.0,Orthodox,9,1,0,
283,Michel,Batista,,6.3,260.0,,Orthodox,4,1,0,
284,Bryan,Battle,The Butcher,6.1,185.0,77.0,Orthodox,13,2,0,
285,Alan,Baudot,The Black Samourai,6.3,243.0,79.0,Orthodox,8,3,0,
286,Mario,Bautista,,5.9,135.0,69.0,Switch,16,2,0,
287,Chris,Beal,Real Deal,5.7,125.0,69.0,Orthodox,10,5,0,
288,Donovan,Beard,The Highlight Reel,6.2,185.0,78.0,Orthodox,7,2,0,
289,Rudy,Bears,,5.11,170.0,,Southpaw,16,15,0,
290,Ariel,Beck,,5.6,125.0,66.0,Southpaw,4,5,0,
291,Jack,Becker,,5.8,155.0,71.0,Orthodox,13,6,0,
292,Jeff,Bedard,Little Popeye,5.6,145.0,,Orthodox,13,3,0,
293,Eric,Bedard,Lucky Strikes,6.2,239.0,,,6,7,0,
294,Johnny,Bedford,Brutal,5.1,135.0,71.0,Orthodox,21,13,1,
295,Rolando,Bedoya,The Machine,5.11,155.0,74.0,Orthodox,14,4,0,
296,Chase,Beebe,,5.7,135.0,67.0,Orthodox,24,13,1,
297,Lyle,Beerbohm,Fancy Pants,5.1,155.0,,Southpaw,24,3,0,
298,Allan,Begosso,Mini,5.5,135.0,66.0,Orthodox,7,2,1,
299,Azamat,Bekoev,Iron,6.0,185.0,72.0,Orthodox,20,3,0,
300,Mirsad,Bektic,,5.8,145.0,70.0,Orthodox,13,4,0,
301,Diana,Belbita,The Warrior Princess,5.7,125.0,68.0,Orthodox,15,10,0,
302,Alan,Belcher,The Talent,6.2,185.0,75.0,Orthodox,18,8,0,
303,Vitor,Belfort,The Phenom,6.0,185.0,74.0,Southpaw,26,14,0,
304,Yousri,Belgaroui,,6.5,185.0,79.0,Orthodox,8,3,0,
305,Rodolfo,Bellato,Trator,6.3,205.0,75.0,Orthodox,12,2,1,
306,Danilo,Belluardo,Caterpillar,6.0,155.0,74.0,Southpaw,12,5,0,
307,Joey,Beltran,The Mexicutioner,6.1,185.0,75.0,Orthodox,17,14,0,
308,Marco,Beltran,Psycho,5.8,125.0,69.0,Orthodox,8,6,0,
309,Joseph,Benavidez,,5.4,125.0,65.0,Southpaw,28,8,0,
310,Mike,Bencic,Batman,6.0,215.0,,Orthodox,1,2,0,
311,Dave,Beneteau,Dangerous,6.2,250.0,,Orthodox,6,5,1,
312,Karla,Benitez,,5.3,113.0,,,14,11,1,
313,Gabriel,Benitez,Moggly,5.8,155.0,71.0,Southpaw,23,13,0,
314,Josh,Bennett,,6.4,259.0,,Orthodox,11,14,0,
315,DeAnna,Bennett,The Argentine Assassin,5.4,125.0,68.0,Orthodox,8,3,1,
316,Benjamin,Bennett,Mr. Alaska,6.0,170.0,73.0,Switch,7,1,0,
317,Lance,Benoist,,5.11,170.0,72.0,Southpaw,7,2,0,
318,Joe,Benoit,,5.9,170.0,,Orthodox,11,4,0,
319,Ryan,Benoit,Baby Face,5.5,125.0,68.0,Orthodox,10,8,0,
320,Pat,Benson,,5.9,155.0,,,3,5,3,
321,Len,Bentley,,5.9,155.0,,,10,6,0,
322,Steve,Berger,The Red Nosed Pitbull,5.11,170.0,,Orthodox,21,23,2,
323,Kenneth,Bergh,,6.2,205.0,74.0,Orthodox,8,0,0,
324,Bret,Bergmark,The Angry Hick,5.9,170.0,,,6,1,1,
325,Keith,Berish,Sha Bang Bang,6.0,205.0,,Orthodox,5,1,0,
326,Dennis,Bermudez,The Menace,5.6,155.0,66.0,Orthodox,17,9,0,
327,Manny,Bermudez,The Bermudez Triangle,5.1,145.0,71.0,Orthodox,14,2,0,
328,Talita,Bernardo,,5.4,135.0,68.0,Orthodox,6,4,0,
329,Dave,Berry,,,,,,0,1,0,
330,Keith,Berry,,6.1,185.0,,,15,14,1,
331,Dieusel,Berto,,5.9,200.0,,,0,3,0,
332,Edson,Berto,Little Tiger,5.6,155.0,,Orthodox,17,12,1,
333,Allen,Berube,Monstah Lobstah,5.8,155.0,,Orthodox,4,3,0,
334,Anton,Berzin,The Body Snatcher,6.2,205.0,,Orthodox,5,1,0,
335,Scott,Bessac,,6.4,245.0,,,4,6,0,
336,Matt,Bessette,The Mangler,5.1,145.0,70.0,Orthodox,22,9,0,
337,Khadzhi,Bestaev,Best,6.6,185.0,76.0,,10,4,0,
338,Arjan,Bhullar,,6.1,245.0,75.0,Orthodox,9,1,0,
339,KB,Bhullar,The Bengal,6.4,185.0,78.0,Switch,8,2,0,
340,Bibulatov,Magomed,Chaborz,5.5,125.0,65.0,Orthodox,14,2,0,
341,David,Bielkheden,,5.1,155.0,71.0,Orthodox,24,12,0,
342,Blake,Bilder,El Animal,5.8,145.0,68.0,Switch,8,2,1,
343,Jonas,Bilharinho,,5.11,145.0,75.0,Switch,9,1,1,
344,Jeremiah,Billington,,5.9,205.0,,Orthodox,11,2,0,
345,Scott,Bills,,5.1,170.0,,,7,9,1,
346,Anthony,Birchak,El Toro,5.8,135.0,69.0,Orthodox,16,8,0,
347,Chris,Birchler,The Big Buck,6.3,205.0,,Switch,7,4,0,
348,Angad,Bisht,,5.7,125.0,67.0,Orthodox,10,3,0,
349,Michael,Bisping,The Count,6.1,185.0,75.0,Orthodox,30,9,0,
350,Amaury,Bitetti,,5.9,185.0,,Orthodox,5,2,0,
351,Caio,Bittencourt,Leao,6.0,185.0,75.0,Orthodox,14,7,0,
352,Davi,Bittencourt,The Black,5.5,135.0,65.0,Orthodox,14,4,0,
353,Simon,Biyong,,,205.0,,,7,1,0,
354,Jan,Blachowicz,,6.2,205.0,78.0,Orthodox,29,11,1,
355,Jason,Black,The Black Legion,5.8,155.0,,Orthodox,23,4,1,
356,Brad,Blackburn,Bad Brad,5.1,170.0,73.0,Orthodox,18,13,1,
357,Jason,Blackford,,,,,,3,3,0,
358,Tom,Blackledge,,,205.0,,Orthodox,10,7,0,
359,Sherrard,Blackledge,The Thriller,5.11,155.0,75.0,Orthodox,5,1,0,
360,Da'Mon,Blackshear,The Monster,5.1,135.0,72.0,Switch,17,8,1,
361,Chasen,Blair,Mestizo,5.1,155.0,71.0,Orthodox,6,3,0,
